,id,loan_amnt,term,installment,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,fico_range_low,fico_range_high,last_credit_pull_d,last_fico_range_high,last_fico_range_low,acc_now_delinq,delinq_amnt,delinq_2yrs,mths_since_last_delinq,mths_since_last_record,inq_last_6mths,inq_last_12m,inq_last_6mnths
10775,38618026,-1.418469577077391,0,-1.3822741496577178,7,2,-0.8042167956843912,0,1,1,33,-0.01945220576648347,1,2,4,1,1,0,-0.02481415633827177,1,-0.7783086599438228,1.4987761074394865,1,0.0,0.3663742604919181
66310,42394589,-1.1904137886661696,0,-1.1562020796079602,1,1,-0.17561108082161508,0,1,2,10,0.00271973217710798,2,2,4,1,1,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
25128,24034668,-0.2781906350212849,0,-0.0833475893633449,8,2,0.35105857217152164,1,1,1,10,0.03980376997656623,1,1,4,4,4,0,-0.02481415633827177,0,2.3319739272619873,3.4453739503986616,2,0.0,1.434422134874938
26848,42874386,-0.7913161589465326,0,-0.5844426816745499,10,3,-0.7022807338147518,0,1,2,22,0.03803786341468727,2,2,3,4,4,0,-0.02481415633827177,0,0.64723752585884,-0.4478217355196883,0,0.0,-0.7016736138911017
42543,41790394,0.40597673021237873,0,0.6887807924271643,4,1,0.130197104787303,0,1,2,39,-0.06418850533408388,1,1,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,3.4453739503986616,0,0.0,-0.7016736138911017
47863,46408840,2.2304230375021485,1,1.2501822302530852,7,1,0.8352548660523086,2,1,1,4,0.1293744750318714,2,2,4,1,1,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
12500,43325925,0.14941396824975486,0,0.46021513938856656,1,2,-0.6003446719451124,0,1,2,24,0.04882951462616981,2,2,4,4,4,0,-0.02481415633827177,0,1.8999902345945134,-0.4478217355196883,0,0.0,-0.7016736138911017
52524,59719702,2.2304230375021485,1,2.1055962838708506,9,1,0.928696256099478,2,1,2,44,0.014884866270051937,1,1,4,4,4,0,-0.02481415633827177,0,1.5544032804605346,-0.4478217355196883,1,0.0,0.3663742604919181
74670,58712752,1.0901440954460424,0,1.3831093849658647,2,1,0.6848651961073007,0,1,1,9,0.0211636451567327,2,2,4,4,4,0,-0.02481415633827177,0,2.3751722965287345,-0.4478217355196883,0,0.0,-0.7016736138911017
55616,60931121,-0.9252989346381251,0,-0.7325998740268601,0,1,-0.8723168807507683,2,1,2,9,-0.032990822740888846,2,2,1,1,1,0,-0.02481415633827177,1,0.21525383319136643,-0.4478217355196883,0,0.0,-0.7016736138911017
53539,51867591,-1.2132193675072918,0,-1.1385935474252284,4,3,-0.6003446719451124,0,1,2,4,-0.01856925248554399,2,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
54781,66630673,0.12090699469835223,0,0.2790659259531422,2,1,-0.26055779904631454,2,1,2,47,-0.02092379456804926,2,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,3.063006516960252,3,0.0,2.5024700092579577
13252,89825739,-0.050134846610063684,1,-0.23204186112863592,0,3,-0.11529891088207846,2,1,5,33,-0.18750764690529817,1,2,4,2,2,0,-0.02481415633827177,0,0.38804731025835587,-0.4478217355196883,0,0.0,-0.7016736138911017
62205,58240295,-0.050134846610063684,0,0.142110675643006,7,1,-0.20958976811149485,0,1,2,1,-0.005619271031764918,2,2,4,4,4,0,-0.02481415633827177,0,1.381609803393545,2.3330323258505614,0,0.0,-0.7016736138911017
45962,39519363,-0.40932271335773707,0,-0.19571227512199738,6,3,-0.6003446719451124,1,1,2,4,0.05530450535305934,2,2,4,1,1,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
73449,43570022,-0.3922185292268955,0,-0.30988001319565733,9,3,-0.5833553283001726,0,1,2,46,0.08660029386635877,2,2,4,1,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
50203,68447042,1.6602835664740954,1,1.2285456024729962,1,1,-0.17561108082161508,2,1,2,42,0.1477202820913918,1,2,4,4,4,0,-0.02481415633827177,0,1.5112049111937873,-0.4478217355196883,0,0.0,-0.7016736138911017
78429,71065630,-0.16416274081567428,0,0.22685413444835387,3,3,-0.6020436063096064,1,1,1,33,0.15968920434412698,2,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,1.0,-0.7016736138911017
40834,54017992,-0.16416274081567428,1,-0.506873069314019,1,2,-0.5663659846552326,0,1,2,4,-0.045155956833832805,2,2,4,1,1,0,-0.02481415633827177,3,-0.3463249672763492,-0.4478217355196883,0,0.0,-0.7016736138911017
41544,71817030,0.9761162012404317,1,0.291303664006065,0,1,-0.005717644372216135,2,1,2,37,0.04117725285802765,2,2,4,1,1,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,3.0,-0.7016736138911017
42121,72654206,-1.1904137886661696,0,-1.1562020796079602,5,3,-0.17561108082161508,0,1,0,7,-0.048883981797799514,2,2,4,4,4,0,-0.02481415633827177,0,0.43124567952510323,-0.4478217355196883,0,1.0,-0.7016736138911017
65075,48584769,-1.290188196096079,0,-1.2342320457510463,0,3,-0.9547627675909325,2,1,1,21,0.15674602674099541,2,2,4,2,2,0,-0.02481415633827177,0,-0.7783086599438228,2.715399759288971,0,0.0,-0.7016736138911017
14816,46645473,-0.6202743176381167,1,-0.7850418424229264,3,2,-0.8443116466864493,0,1,2,26,-0.08636044327767531,1,1,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
67019,75890919,-0.8198231324979353,0,-0.47150255368770355,2,1,-0.8116921068881647,1,1,2,34,-0.04427300355289333,1,2,4,4,4,0,-0.02481415633827177,0,1.6408000189940293,-0.4478217355196883,0,16.0,-0.7016736138911017
37836,55737516,0.6340325186236,1,0.6926170739484566,1,3,-0.005717644372216135,2,1,2,42,-0.08204378279308229,2,2,4,1,1,0,-0.02481415633827177,1,-0.3463249672763492,-0.4478217355196883,0,0.0,-0.7016736138911017
11807,76864307,0.6226297292030388,0,1.2230213570823354,7,3,-0.345504517271014,2,1,1,13,-0.10421572073667372,2,2,4,1,1,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,3.0,-0.7016736138911017
78943,50435583,0.9761162012404317,0,1.462942403423958,2,2,0.6738561014253797,2,1,3,30,0.08591355242562805,1,1,4,1,1,0,-0.02481415633827177,1,-0.4327217058098439,-0.4478217355196883,3,0.0,2.5024700092579577
62616,71947769,-0.9623580002549486,0,-0.927482975308511,4,3,-0.49840861007547305,0,1,2,3,-0.0722331907826436,2,2,4,1,1,0,-0.02481415633827177,0,0.8200310029258294,-0.4478217355196883,0,1.0,-0.7016736138911017
6940,76844506,0.9761162012404317,0,1.3454754632419865,2,3,-0.03969633166209592,2,1,2,9,0.05893442439692166,2,2,4,1,1,0,-0.02481415633827177,0,0.9496261107260715,-0.4478217355196883,1,1.0,0.3663742604919181
74231,73548328,0.33755999368901235,0,0.8307999343454066,3,1,-0.6003446719451124,0,1,0,18,-0.0818475709528735,2,2,4,2,2,0,-0.02481415633827177,1,0.1288570946578717,-0.4478217355196883,0,2.0,-0.7016736138911017
19570,48744874,-0.9623580002549486,0,-0.9161659448206986,0,3,-0.8891635139090907,2,1,2,10,0.10151239372222556,2,2,4,1,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,1,0.0,0.3663742604919181
47191,78228344,-0.3922185292268955,1,-0.674134943642365,3,1,-0.43045123549571346,0,1,2,16,-0.1268781882807871,1,1,4,1,1,0,-0.02481415633827177,0,2.072783711661503,1.915904216645024,2,6.0,1.434422134874938
48045,66836112,-0.6202743176381167,0,-0.48228250476253504,5,3,-0.1076537062418555,1,1,1,33,-0.16307927279930587,1,1,4,4,4,0,-0.02481415633827177,0,0.9928244799928189,-0.4478217355196883,0,1.0,-0.7016736138911017
33181,67335290,-0.9395524214138264,0,-0.8491461066437215,8,3,1.5403126273173142,1,1,5,5,-0.07046728422076463,2,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,3.0,-0.7016736138911017
39639,63326531,1.4322277780628743,1,0.9859775218816819,8,3,-0.0906643625969156,2,1,2,48,0.09336960235356144,2,2,4,1,4,0,-0.02481415633827177,0,-0.7783086599438228,2.5415963804533304,1,0.0,0.3663742604919181
53125,74121546,0.3318585989787318,1,0.13827439412171366,2,1,-0.17561108082161508,2,1,2,42,0.14183392688512858,1,1,4,4,4,0,-0.02481415633827177,6,2.6343625121292185,2.2982716500834335,3,3.0,2.5024700092579577
76015,62157101,-0.6658854753203609,0,-0.5413228773752243,2,1,1.0646110052589972,0,1,2,33,0.007134498581805383,2,2,4,1,1,0,-0.02481415633827177,0,0.64723752585884,-0.4478217355196883,0,0.0,-0.7016736138911017
12032,56170367,0.29194883600676813,1,0.15047376935942333,2,1,1.6932167201217732,0,1,3,26,-0.13384370860819855,2,2,4,2,2,0,-0.02481415633827177,1,-0.0007380131423703623,-0.4478217355196883,2,0.0,1.434422134874938
337,46918572,0.4145288222777995,0,0.8984335775657905,1,2,-0.3794832045608938,1,1,2,42,0.014198124829321262,1,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,1,0.0,0.3663742604919181
33191,60903806,-0.6202743176381167,0,-0.3971170549898451,2,1,-0.515397953720413,2,1,6,34,0.006938286741596613,1,1,4,1,1,0,-0.02481415633827177,1,0.1288570946578717,-0.4478217355196883,0,0.0,-0.7016736138911017
32299,40620483,0.4914976508665867,1,0.12630519577528154,1,1,-0.17561108082161508,0,1,3,42,0.0294045424455012,2,2,4,4,4,0,-0.02481415633827177,0,1.1656179570598082,-0.4478217355196883,2,0.0,1.434422134874938
10391,70582820,-1.076385894460559,0,-0.9918941420510095,3,1,1.5233232836723742,1,1,1,10,-0.04083929634923981,1,1,4,1,1,0,-0.02481415633827177,1,-0.08713475167586508,-0.4478217355196883,1,6.0,0.3663742604919181
49778,55080514,0.06389304759554691,0,0.2529408487931416,9,3,-0.5663659846552326,2,1,2,4,0.05294996327055407,2,2,4,2,2,0,-0.02481415633827177,0,1.6408000189940293,-0.4478217355196883,0,0.0,-0.7016736138911017
3842,88092759,-0.3922185292268955,0,-0.1831292717321586,2,3,-0.1076537062418555,1,1,2,4,-0.18633037586404552,2,2,4,1,1,0,-0.02481415633827177,1,-0.562316813610086,-0.4478217355196883,0,2.0,-0.7016736138911017
9461,61394120,-0.8939412637315821,0,-0.7042881163997227,2,3,-0.8551848266192108,2,1,2,37,0.07777076105696393,2,2,4,2,2,0,-0.02481415633827177,0,-0.7783086599438228,2.5763570562204583,0,0.0,-0.7016736138911017
31480,81100297,-0.3922185292268955,0,-0.0690382592889244,10,1,0.07922907385248333,2,1,3,34,0.16508502994986823,2,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,1.0,-0.7016736138911017
64954,48635714,-1.076385894460559,0,-0.9969196708439024,2,1,0.09621841749742323,0,1,8,4,-0.05535897252468905,2,2,4,4,4,0,-0.02481415633827177,0,2.5047674043289767,2.0201862439464082,2,0.0,1.434422134874938
300,66432135,-0.8483301060493379,0,-0.7122675819640109,10,3,-0.0906643625969156,1,1,2,33,-0.10244981417479476,2,2,4,4,4,0,-0.02481415633827177,1,0.04246035612437699,-0.4478217355196883,0,0.0,-0.7016736138911017
36619,56081045,0.5542129926796725,1,0.3065337016455957,7,2,-0.498425599419118,2,1,6,4,-0.062422598772204914,2,2,4,4,4,0,-0.02481415633827177,0,2.2455771887284923,-0.4478217355196883,0,0.0,-0.7016736138911017
11772,58634055,-0.2781906350212849,1,-0.5288933252462371,1,1,-0.24866525849485663,0,1,2,9,0.04402232454105486,2,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
12199,479428,0.06389304759554691,1,-0.13041876362960184,1,3,-0.6003446719451124,1,1,8,44,-0.005324953271451747,1,1,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
13969,42111355,2.2304230375021485,0,2.7891449253347194,1,3,0.5379413522658605,1,1,2,37,-0.09303164584477361,2,2,4,4,4,0,-0.02481415633827177,1,-0.4327217058098439,-0.4478217355196883,3,0.0,2.5024700092579577
16984,44037299,2.2304230375021485,1,2.028065034325533,8,3,0.41901594675128123,2,1,2,4,0.0038970032183606325,2,2,4,4,4,0,-0.02481415633827177,2,-0.30312659800960184,3.619177329234302,0,0.0,-0.7016736138911017
69657,56129836,0.06389304759554691,0,0.38985773628806536,9,2,-0.57557420891079,2,1,1,9,0.06266244936088836,1,1,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
3747,66464554,2.2304230375021485,1,2.2629989146894753,9,2,0.07922907385248333,2,1,2,4,-0.10176307273406404,3,3,4,1,1,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,2,0.0,1.434422134874938
28409,53944649,1.4322277780628743,1,0.9631900096452052,4,1,-0.07367501895197572,1,1,1,26,0.04961436198700492,2,2,4,1,1,0,-0.02481415633827177,1,-0.0007380131423703623,-0.4478217355196883,0,0.0,-0.7016736138911017
